2026-04-24 16:46:52.249 [http-nio-8081-exec-1] INFO  [requestId=049dd4f6c01c] [пользователь=Аноним] USER_ACTION_LOGGER.logServiceCall | источник=ApplicationLoggingAspect.java:67 | [ДЕЙСТВИЕ ПОЛЬЗОВАТЕЛЯ] FacultyServiceImpl.create | длительность=50 мс | параметры=FacultyDto
2026-04-24 16:47:29.626 [http-nio-8081-exec-1] INFO  [requestId=5150420ae3cf] [пользователь=Аноним] USER_ACTION_LOGGER.logServiceCall | источник=ApplicationLoggingAspect.java:67 | [ДЕЙСТВИЕ ПОЛЬЗОВАТЕЛЯ] DirectionServiceImpl.create | длительность=51 мс | параметры=DirectionDto
2026-04-24 16:47:51.097 [http-nio-8081-exec-6] INFO  [requestId=e0030f5dbc17] [пользователь=Аноним] USER_ACTION_LOGGER.logServiceCall | источник=ApplicationLoggingAspect.java:67 | [ДЕЙСТВИЕ ПОЛЬЗОВАТЕЛЯ] DirectionServiceImpl.delete | длительность=95 мс | параметры=52
2026-04-24 16:48:03.264 [http-nio-8081-exec-8] INFO  [requestId=98454218afa9] [пользователь=Аноним] USER_ACTION_LOGGER.logServiceCall | источник=ApplicationLoggingAspect.java:67 | [ДЕЙСТВИЕ ПОЛЬЗОВАТЕЛЯ] FacultyServiceImpl.delete | длительность=14 мс | параметры=8
2026-04-24 16:48:18.023 [http-nio-8081-exec-10] INFO  [requestId=5f7babe95965] [пользователь=Аноним] USER_ACTION_LOGGER.logServiceCall | источник=ApplicationLoggingAspect.java:67 | [ДЕЙСТВИЕ ПОЛЬЗОВАТЕЛЯ] StudentGroupServiceImpl.create | длительность=26 мс | параметры=StudentGroupDto
2026-04-24 16:48:29.362 [http-nio-8081-exec-6] INFO  [requestId=198e3c495711] [пользователь=Аноним] USER_ACTION_LOGGER.logServiceCall | источник=ApplicationLoggingAspect.java:67 | [ДЕЙСТВИЕ ПОЛЬЗОВАТЕЛЯ] StudentGroupServiceImpl.create | длительность=8 мс | параметры=StudentGroupDto
2026-04-24 16:48:34.550 [http-nio-8081-exec-9] INFO  [requestId=34852c44610c] [пользователь=Аноним] USER_ACTION_LOGGER.logServiceCall | источник=ApplicationLoggingAspect.java:67 | [ДЕЙСТВИЕ ПОЛЬЗОВАТЕЛЯ] StudentGroupServiceImpl.create | длительность=11 мс | параметры=StudentGroupDto
2026-04-24 16:48:51.688 [http-nio-8081-exec-7] INFO  [requestId=d02123bd7cf9] [пользователь=Аноним] USER_ACTION_LOGGER.logServiceCall | источник=ApplicationLoggingAspect.java:67 | [ДЕЙСТВИЕ ПОЛЬЗОВАТЕЛЯ] StudentGroupServiceImpl.create | длительность=7 мс | параметры=StudentGroupDto
2026-04-24 16:50:09.192 [http-nio-8081-exec-4] INFO  [requestId=35d7ea81c8a8] [пользователь=Аноним] USER_ACTION_LOGGER.logServiceCall | источник=ApplicationLoggingAspect.java:67 | [ДЕЙСТВИЕ ПОЛЬЗОВАТЕЛЯ] OrderServiceImpl.create | длительность=66 мс | параметры=OrderRequest
2026-04-24 16:50:39.583 [http-nio-8081-exec-9] INFO  [requestId=b171648d74ab] [пользователь=Аноним] USER_ACTION_LOGGER.logServiceCall | источник=ApplicationLoggingAspect.java:67 | [ДЕЙСТВИЕ ПОЛЬЗОВАТЕЛЯ] OrderServiceImpl.create | длительность=19 мс | параметры=OrderRequest
2026-04-24 16:50:44.889 [http-nio-8081-exec-8] INFO  [requestId=1a7998b83128] [пользователь=Аноним] USER_ACTION_LOGGER.logServiceCall | источник=ApplicationLoggingAspect.java:67 | [ДЕЙСТВИЕ ПОЛЬЗОВАТЕЛЯ] OrderServiceImpl.execute | длительность=74 мс | параметры=2
2026-04-24 16:50:47.246 [http-nio-8081-exec-9] INFO  [requestId=a7f328fc4855] [пользователь=Аноним] USER_ACTION_LOGGER.logServiceCall | источник=ApplicationLoggingAspect.java:67 | [ДЕЙСТВИЕ ПОЛЬЗОВАТЕЛЯ] OrderServiceImpl.execute | длительность=32 мс | параметры=3
2026-04-24 16:51:03.079 [http-nio-8081-exec-3] INFO  [requestId=c512a76c5b6e] [пользователь=Аноним] USER_ACTION_LOGGER.logServiceCall | источник=ApplicationLoggingAspect.java:67 | [ДЕЙСТВИЕ ПОЛЬЗОВАТЕЛЯ] OrderServiceImpl.rollback | длительность=54 мс | параметры=2
2026-04-24 16:51:04.687 [http-nio-8081-exec-5] INFO  [requestId=dd13641b0be8] [пользователь=Аноним] USER_ACTION_LOGGER.logServiceCall | источник=ApplicationLoggingAspect.java:67 | [ДЕЙСТВИЕ ПОЛЬЗОВАТЕЛЯ] OrderServiceImpl.sign | длительность=16 мс | параметры=3
2026-04-25 16:10:31.976 [http-nio-8081-exec-7] INFO  [requestId=f6e714865931] [пользователь=Аноним] USER_ACTION_LOGGER.logServiceCall | источник=ApplicationLoggingAspect.java:67 | [ДЕЙСТВИЕ ПОЛЬЗОВАТЕЛЯ] OrderServiceImpl.execute | длительность=70 мс | параметры=2
2026-04-25 16:19:36.665 [http-nio-8081-exec-10] INFO  [requestId=221a4d0a09db] [пользователь=Аноним] USER_ACTION_LOGGER.logServiceCall | источник=ApplicationLoggingAspect.java:67 | [ДЕЙСТВИЕ ПОЛЬЗОВАТЕЛЯ] OrderServiceImpl.execute | длительность=44 мс | параметры=28
2026-04-25 16:19:42.942 [http-nio-8081-exec-8] INFO  [requestId=a69554dacb49] [пользователь=Аноним] USER_ACTION_LOGGER.logServiceCall | источник=ApplicationLoggingAspect.java:67 | [ДЕЙСТВИЕ ПОЛЬЗОВАТЕЛЯ] OrderServiceImpl.sign | длительность=9 мс | параметры=2
2026-04-25 16:20:27.289 [http-nio-8081-exec-6] INFO  [requestId=97bfde369d59] [пользователь=Аноним] USER_ACTION_LOGGER.logServiceCall | источник=ApplicationLoggingAspect.java:67 | [ДЕЙСТВИЕ ПОЛЬЗОВАТЕЛЯ] OrderServiceImpl.create | длительность=13 мс | параметры=OrderRequest
2026-04-25 16:20:57.417 [http-nio-8081-exec-2] INFO  [requestId=1408ab662a8d] [пользователь=Аноним] USER_ACTION_LOGGER.logServiceCall | источник=ApplicationLoggingAspect.java:67 | [ДЕЙСТВИЕ ПОЛЬЗОВАТЕЛЯ] OrderServiceImpl.update | длительность=13 мс | параметры=1, OrderRequest
2026-04-26 03:16:43.243 [http-nio-8081-exec-7] INFO  [requestId=61fa1540debc] [пользователь=Аноним] USER_ACTION_LOGGER.logServiceCall | источник=ApplicationLoggingAspect.java:67 | [ДЕЙСТВИЕ ПОЛЬЗОВАТЕЛЯ] OrderServiceImpl.update | длительность=77 мс | параметры=1, OrderRequest
2026-04-26 03:17:21.527 [http-nio-8081-exec-5] INFO  [requestId=663b00c079d8] [пользователь=Аноним] USER_ACTION_LOGGER.logServiceCall | источник=ApplicationLoggingAspect.java:67 | [ДЕЙСТВИЕ ПОЛЬЗОВАТЕЛЯ] OrderServiceImpl.execute | длительность=85 мс | параметры=34
2026-04-26 03:27:40.188 [http-nio-8081-exec-8] INFO  [requestId=f9dcc1d18317] [пользователь=Аноним] USER_ACTION_LOGGER.logServiceCall | источник=ApplicationLoggingAspect.java:67 | [ДЕЙСТВИЕ ПОЛЬЗОВАТЕЛЯ] OrderServiceImpl.create | длительность=8 мс | параметры=OrderRequest
